"filename", "language", "Python", "JSON", "Markdown", "toml", "comment", "blank", "total"
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/README.md", "Markdown", 0, 0, 83, 0, 0, 38, 121
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/1-load_data.ipynb", "JSON", 0, 515, 0, 0, 0, 1, 516
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/2-read_raw_and_transform.ipynb", "JSON", 0, 194, 0, 0, 0, 1, 195
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/3-Model-building.ipynb", "JSON", 0, 533, 0, 0, 0, 1, 534
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/4-backfill_feature_group.ipynb", "JSON", 0, 243, 0, 0, 0, 1, 244
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/5-feature_pipeline.ipynb", "JSON", 0, 328, 0, 0, 0, 1, 329
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/6-training_pipeline.ipynb", "JSON", 0, 513, 0, 0, 0, 1, 514
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/7-inference_pipeline.ipynb", "JSON", 0, 71, 0, 0, 0, 1, 72
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/notebooks/8-monitoring.ipynb", "JSON", 0, 77, 0, 0, 0, 1, 78
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/poetry.lock", "toml", 0, 0, 0, 2086, 0, 198, 2284
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/backfill_feature.py", "Python", 33, 0, 0, 0, 5, 13, 51
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/data_info.py", "Python", 152, 0, 0, 0, 22, 50, 224
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/feature_group_config.py", "Python", 43, 0, 0, 0, 4, 10, 57
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/feature_store_api.py", "Python", 70, 0, 0, 0, 5, 15, 90
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/inference.py", "Python", 69, 0, 0, 0, 10, 24, 103
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/model_info.py", "Python", 53, 0, 0, 0, 3, 15, 71
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/model_registry_api.py", "Python", 2, 0, 0, 0, 0, 2, 4
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/components/monitoring.py", "Python", 63, 0, 0, 0, 11, 17, 91
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/exception.py", "Python", 13, 0, 0, 0, 0, 5, 18
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/frontend.py", "Python", 48, 0, 0, 0, 3, 9, 60
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/logger.py", "Python", 10, 0, 0, 0, 0, 3, 13
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/monitoring_frontend.py", "Python", 54, 0, 0, 0, 2, 17, 73
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/paths.py", "Python", 18, 0, 0, 0, 0, 5, 23
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/pipelines/feature_pipeline.py", "Python", 36, 0, 0, 0, 12, 16, 64
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/pipelines/inference_pipeline.py", "Python", 55, 0, 0, 0, 4, 17, 76
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/pipelines/training_pipeline.py", "Python", 35, 0, 0, 0, 5, 10, 50
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/plot.py", "Python", 52, 0, 0, 0, 0, 16, 68
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/src/premierleague_ticketdemand_predictor/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/sanjaydevarajan/Desktop/ML Projects/PremierLeague_TicketDemand_Predictor/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 806, 2474, 83, 2086, 86, 491, 6026